"고유번호","환승시작역","환승시작 코드","환승시작 호선","하차 열차 방면","하차위치(호차)","하차위치(문)","환승종료역","환승종료역 코드","환승종료 호선","환승 열차 방면","환승 승차위치(호차)","환승 승차위치(문)","소요시간"
831,양재,"4308",신분당선,양재시민의숲 방면,"6","4",양재,"0332","3",매봉 방면,"6","1","02:24"
832,양재,"4308",신분당선,강남 방면,"1","1",양재,"0332","3",매봉 방면,"6","1","02:24"
833,정자,"4312",신분당선,동천 방면,"1","1",정자,"1857",수인분당선,수내 방면,"6","4","00:46"
834,정자,"4312",신분당선,동천 방면,"1","1",정자,"1857",수인분당선,미금 방면,"6","4","00:46"
835,샛강,"4401","9",여의도 방면,"1","1",샛강,"4401",신림선,대방 방면,"1","1","02:24"
838,샛강,"4401","9",노량진 방면,"1","1",샛강,"4401",신림선,대방 방면,"1","1","02:24"
837,샛강,"4401",신림선,여의도 방면,"1","1",샛강,"4116","9",여의도 방면,"1","1","02:24"
836,샛강,"4401",신림선,노량진 방면,"1","1",샛강,"4116","9",노량진 방면,"1","1","02:24"
842,대방,"4402",신림선,샛강 방면,"3","1",대방,"1005","1",신길 방면,"7","3","02:24"
841,대방,"4402",신림선,샛강 방면,"3","1",대방,"1005","1",노량진 방면,"7","3","02:24"
840,대방,"4402",신림선,서울지방병무청 방면,"1","2",대방,"1005","1",신길 방면,"7","3","02:24"
839,대방,"4402","1",노량진 방면,"7","3",대방,"4402",신림선,샛강 방면,"1","2","02:24"
843,대방,"4402","1",신길 방면,"7","3",대방,"4402",신림선,서울지방병무청 방면,"1","2","02:24"
844,대방,"4402","1",노량진 방면,"6","4",대방,"4402",신림선,서울지방병무청 방면,"1","2","02:24"
845,대방,"4402","1",신길 방면,"7","3",대방,"4402",신림선,샛강 방면,"1","2","02:24"
846,대방,"4402",신림선,서울지방병무청 방면,"1","2",대방,"1005","1",노량진 방면,"7","3","02:24"
854,보라매,"4404",신림선,보라매공원 방면,"1","2",보라매,"2744","7",신대방삼거리 방면,"8","4","02:24"
853,보라매,"4404",신림선,보라매공원 방면,"1","2",보라매,"2744","7",신풍 방면,"8","4","02:24"
852,보라매,"4404","7",신풍 방면,"8","4",보라매,"4404",신림선,서울지방병무청 방면,"1","2","02:24"
849,보라매,"4404","7",신풍 방면,"8","4",보라매,"4404",신림선,보라매공원 방면,"1","2","02:24"
850,보라매,"4404",신림선,서울지방병무청 방면,"3","1",보라매,"2744","7",신대방삼거리 방면,"8","4","02:24"
851,보라매,"4404","7",신대방삼거리 방면,"1","1",보라매,"4404",신림선,서울지방병무청 방면,"1","2","02:24"
847,보라매,"4404",신림선,서울지방병무청 방면,"3","1",보라매,"2744","7",신풍 방면,"8","4","02:24"
848,보라매,"4404","7",신대방삼거리 방면,"1","1",보라매,"4404",신림선,보라매공원 방면,"1","2","02:24"
858,신림,"4408","2",봉천 방면,"5","3",신림,"4408",신림선,당곡 방면,"1","1","02:24"
857,신림,"4408",신림선,당곡 방면,"3","2",신림,"0230","2",봉천 방면,"5","3","02:24"
859,신림,"4408","2",신대방 방면,"6","2",신림,"4408",신림선,서원 방면,"1","1","02:24"
860,신림,"4408",신림선,당곡 방면,"3","2",신림,"0230","2",신대방 방면,"5","3","02:24"
855,신림,"4408","2",봉천 방면,"5","3",신림,"4408",신림선,서원 방면,"1","1","02:24"
862,신림,"4408",신림선,서원 방면,"1","1",신림,"0230","2",봉천 방면,"5","3","02:24"
861,신림,"4408","2",신대방 방면,"6","2",신림,"4408",신림선,당곡 방면,"1","1","02:24"
856,신림,"4408",신림선,서원 방면,"1","1",신림,"0230","2",신대방 방면,"5","3","02:24"
864,기흥,"4501",용인경전철,신갈 방면,모든 호차,모든 문,기흥,"1865",수인분당선,신갈 방면,"1","3","07:00"
863,기흥,"4501",용인경전철,상갈 방면,모든 호차,모든 문,기흥,"1865",수인분당선,상갈 방면,"1","3","07:00"
867,회룡,"4602",의정부경전철,범골 방면,"2","1",회룡,"1905","1",의정부 방면,"10","4","07:00"
866,회룡,"4602",의정부경전철,발곡 방면,"1","1",회룡,"1905","1",망월사 방면,"10","4","07:00"
865,회룡,"4602",의정부경전철,발곡 방면,"1","1",회룡,"1905","1",의정부 방면,"10","4","07:00"
868,회룡,"4602",의정부경전철,범골 방면,"2","1",회룡,"1905","1",망월사 방면,"10","4","07:00"
871,성신여대입구,"4711",우이신설경전철,정릉 방면,"1","2",성신여대입구,"0418","4",한성대입구 방면,"5","2","03:07"
869,성신여대입구,"4711",우이신설경전철,정릉 방면,"1","2",성신여대입구,"0418","4",길음 방면,"5","2","03:07"
870,성신여대입구,"4711",우이신설경전철,보문 방면,"2","2",성신여대입구,"0418","4",길음 방면,"5","2","03:07"
872,성신여대입구,"4711",우이신설경전철,보문 방면,"2","2",성신여대입구,"0418","4",한성대입구 방면,"5","2","03:07"
873,보문,"4712",우이신설경전철,성신여대입구 방면,"2","2",보문,"2639","6",안암 방면,"3","4","03:07"
874,보문,"4712",우이신설경전철,성신여대입구 방면,"2","2",보문,"2639","6",창신 방면,"3","4","03:07"
875,보문,"4712",우이신설경전철,신설동 방면,"1","1",보문,"2639","6",안암 방면,"3","4","03:07"
877,신설동,"4713",우이신설경전철,제기동 방면,"2","1",신설동,"0156","1",제기동 방면,"2","1","03:07"
876,신설동,"4713",우이신설경전철,용두 방면,"2","1",신설동,"0246","2",용두 방면,"1","1","03:07"
